snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component
"2017","15500","370500",0.001507,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","15500","378500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","17500","376500",0.001902,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","17500","377500",0.0003169,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","19500","364500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","19500","366500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","21500","377500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","22500","372500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","23500","372500",0.0003962,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","24500","393500",0.004676,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","25500","394500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","188500","414500",0.0003311,0.05,13,"1000",6.5,"1","1500","528","0",NH3
"2017","26500","391500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","27500","375500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","27500","380500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","27500","387500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","27500","399500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","28500","379500",0.005706,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","28500","385500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","28500","386500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","28500","394500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","29500","388500",0.004201,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","30500","385500",0.003804,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","30500","387500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","30500","388500",0.0003962,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","31500","391500",0.001346,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","32500","385500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","32500","390500",0.001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","33500","391500",0.002933,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","34500","377500",0.0003962,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","35500","392500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","36500","372500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","38500","388500",0.007133,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","40500","412500",0.0007133,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","41500","391500",0.01704,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","41500","400500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","41500","413500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","42500","370500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","42500","416500",0.002061,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","44500","360500",0.00103,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","44500","361500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","45500","388500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","45500","389500",0.001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","45500","397500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","45500","399500",0.001426,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","46500","366500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","46500","370500",0.0007926,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","46500","372500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","46500","383500",0.0009511,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","46500","394500",0.001426,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","47500","369500",0.004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","47500","372500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","48500","402500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","49500","383500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","50500","389500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","51500","365500",0.001665,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","51500","386500",0.0009511,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","51500","390500",0.01735,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","51500","391500",0.003329,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","52500","370500",0.004359,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","52500","390500",0.001507,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","52500","408500",0.0007133,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","53500","406500",0.0009511,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","53500","407500",0.03512,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","53500","408500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","53500","416500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","54500","425500",0.0007926,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","55500","425500",0.00103,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","56500","388500",0.01268,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","56500","413500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","57500","387500",0.00111,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","57500","426500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","58500","376500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","58500","407500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","59500","365500",0.0008717,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","59500","375500",0.001507,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","59500","407500",0.0008717,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","60500","385500",0.0006341,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","60500","386500",0.04803,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","61500","364500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","61500","365500",0.001189,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","61500","366500",0.0007133,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","61500","389500",0.002061,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","61500","390500",0.009267,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","61500","425500",0.001507,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","61500","426500",0.0009511,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","62500","388500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","62500","389500",0.002061,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","62500","390500",0.001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","62500","391500",0.006577,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","64500","365500",0.002219,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","64500","396500",0.005072,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","64500","421500",0.006974,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","65500","371500",0.0001585,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","65500","396500",0.0008717,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","65500","401500",0.0002378,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","65500","408500",0.0004756,1.22,50,"1000",25,"1","1100","528","0",NH3
"2017","65500","409500",0.0003169,1.22,50,"1000",25,"1","1100","528","0",NH3
