nr fid_n2000 X Y
    1 190 -14968 715110
    2 190 -15086 714582
    3 190 -15202 714148
    4 190 -15396 713792
    5 190 -14641 715825
    6 190 -14730 715361
    7 190 -14796 714886
    8 190 -14883 714469
    9 191 -14538 703894
   10 190 -14197 717069
   11 190 -14285 716608
   12 190 -14357 716134
   13 190 -14366 715637
   14 190 -14384 715153
   15 190 -14519 714768
   16 191 -14373 703918
   17 191 -14334 703641
   18 191 -14308 703144
   19 191 -14280 702645
   20 191 -14253 702147
   21 191 -14224 701651
   22 191 -14195 701158
   23 191 -14162 700664
   24 191 -14125 700152
   25 191 -14088 699640
   26 190 -13752 718314
   27 190 -13840 717855
   28 190 -13916 717380
   29 190 -13933 716887
   30 190 -13933 716387
   31 190 -13933 715887
   32 190 -14001 715452
   33 191 -13936 703800
   34 191 -13933 703387
   35 191 -13933 702887
   36 191 -13933 702387
   37 191 -13933 701887
   38 191 -13933 701387
   39 191 -13933 700887
   40 191 -13928 700387
   41 191 -13912 699889
   42 191 -13889 699393
   43 191 -13861 698894
   44 191 -13834 698396
   45 191 -13806 697899
   46 191 -13777 697404
   47 191 -13747 696913
   48 191 -13711 696408
   49 191 -13674 695896
   50 190 -13307 719560
   51 190 -13395 719102
   52 190 -13475 718627
   53 190 -13500 718137
   54 190 -13500 717637
   55 190 -13500 717137
   56 190 -13500 716637
   57 190 -13506 716143
   58 190 -13634 715753
   59 191 -13511 703902
   60 191 -13500 703637
   61 191 -13500 703137
   62 191 -13500 702637
   63 191 -13500 702137
   64 191 -13500 701637
   65 191 -13500 701137
   66 191 -13500 700637
   67 191 -13500 700137
   68 191 -13500 699637
   69 191 -13500 699137
   70 191 -13500 698637
   71 191 -13500 698137
   72 191 -13500 697637
   73 191 -13500 697137
   74 191 -13499 696637
   75 191 -13489 696138
   76 191 -13468 695641
   77 191 -13442 695144
   78 191 -13415 694645
   79 191 -13387 694147
   80 191 -13359 693651
   81 191 -13329 693158
   82 191 -13297 692664
   83 191 -13259 692152
