   1 Agrifacts     261890 467687
   2 Agrifacts     195682 344644
   3 Agrifacts     191970 343878
   4 Agrifacts     105883 528661
   5 Agrifacts     259795 488901
   6 Agrifacts     260179 489757
   7 Agrifacts     259366 489799
   8 Agrifacts     257031 488994
   9 Agrifacts     191031 570987
  10 Agrifacts     193097 571599
  11 Agrifacts     159663 473161
  12 Agrifacts     215342 567035
  13 Agrifacts     265802 522267
  14 Agrifacts     245180 440019
  15 Agrifacts     182378 317176
  16 Agrifacts     182673 316650
  17 Agrifacts     182462 318172
  18 Agrifacts     182429 316507
  19 Agrifacts     182488 316769
  20 Agrifacts     265056 495094
  21 Agrifacts     119874 419226
  22 Agrifacts     119816 416510
  23 Agrifacts     120115 421587
  24 Agrifacts     112478 418685
  25 Agrifacts     103285 414955
  26 Agrifacts     169354 446501
  27 Agrifacts     168004 447126
  28 Agrifacts     218890 486576
  29 Agrifacts     104151 432664
  30 Agrifacts     231086 476630
  31 Agrifacts     198448 395956
  32 Agrifacts     123485 473901
  33 Agrifacts      82867 387196
  34 Agrifacts      83602 375906
  35 Agrifacts      85119 382501
  36 Agrifacts      83409 378115
  37 Agrifacts      81909 380166
  38 Agrifacts      79953 385868
  39 Agrifacts      83175 380495
  40 Agrifacts      82774 380111
  41 Agrifacts      85329 379040
  42 Agrifacts     112664 449749
  43 Agrifacts     197790 326271
  44 Agrifacts     199007 326873
  45 Agrifacts     198532 324844
  46 Agrifacts     180799 327536
  47 Agrifacts     181037 325756
  48 Agrifacts     180111 324576
  49 Agrifacts     250614 462453
  50 Agrifacts     252907 463561
  51 Agrifacts      45597 359265
  52 Agrifacts      45017 360034
  53 Agrifacts      88550 470926
  54 Agrifacts     194720 419323
  55 Agrifacts     204120 529495
  56 Agrifacts     204302 523150
  57 Agrifacts     203338 531307
  58 Agrifacts     202516 525158
  59 Agrifacts     200609 525913
  60 Agrifacts     198988 517947
  61 Agrifacts     195068 524665
  62 Agrifacts     200650 523759
  63 Agrifacts     202960 525603
  64 Agrifacts      97586 458823
  65 Agrifacts     189721 559512
  66 Agrifacts     190370 381250
  67 Agrifacts     191599 384491
  68 Agrifacts     190679 376097
  69 Agrifacts     190978 376866
  70 Agrifacts     189218 377241
  71 Agrifacts     189258 377922
  72 Agrifacts     188472 379177
  73 Agrifacts     186909 390001
  74 Agrifacts     187408 381406
  75 Agrifacts     269263 486205
  76 Agrifacts     266514 477258
  77 Agrifacts     268347 488027
  78 Agrifacts     266502 484429
  79 Agrifacts     265693 478308
  80 Agrifacts     264927 473815
  81 Agrifacts     112410 433259
  82 Agrifacts     223148 544137
  83 Agrifacts     219661 548181
  84 Agrifacts     215013 550286
  85 Agrifacts     213636 551914
  86 Agrifacts     216406 546310
  87 Agrifacts     218950 551246
  88 Agrifacts     243414 555197
  89 Agrifacts     239797 561050
  90 Agrifacts     238831 569679
  91 Agrifacts     238532 552184
  92 Agrifacts     237264 572316
  93 Agrifacts     236718 553969
  94 Agrifacts     234462 552065
  95 Agrifacts     250325 553779
  96 Agrifacts     179226 607782
  97 Agrifacts     109871 546993
  98 Agrifacts     109292 540576
  99 Agrifacts     109524 539402
 100 Agrifacts     108231 538679
 101 Agrifacts     119594 563660
 102 Agrifacts     119450 577379
 103 Agrifacts     116306 566922
 104 Agrifacts     112100 564376
 105 Agrifacts     122187 566917
 106 Agrifacts     121577 568556
 107 Agrifacts     120756 564713
 108 Agrifacts     119894 562842
 109 Agrifacts     116536 572706
 110 Agrifacts     119133 573583
 111 Agrifacts     113606 558003
 112 Agrifacts     111024 561043
 113 Agrifacts     113060 568611
 114 Agrifacts      56633 427835
 115 Agrifacts      52094 425072
 116 Agrifacts      50167 425011
 117 Agrifacts      58937 428936
 118 Agrifacts     207215 611550
 119 Agrifacts     152127 602197
 120 Agrifacts     149760 601239
 121 Agrifacts     145277 599001
 122 Agrifacts     143398 598999
 123 Agrifacts     149958 601610
 124 Agrifacts     134670 590471
 125 Agrifacts     132955 590216
 126 Agrifacts     135312 590610
 127 Agrifacts     129075 587950
 128 Agrifacts     133335 591089
 129 Agrifacts     223895 536134
 130 Agrifacts     150918 477322
