WKT,fid
261890.286084122 467686.746303565,1
195690.843817445 344647.517191435,2
191950.58345564 343873.93010534,3
195682.20470705 344644.445373194,4
191969.912486679 343878.319372069,5
105882.665243269 528661.393215803,6
105882.665243269 528661.393215802,7
257114.074649393 488885.76871147,8
259558.409049649 489143.872326405,9
259297.253762808 489947.526056629,10
259794.907804726 488901.19178482,11
260179.411858778 489757.215630377,12
259366.475991902 489798.767985903,13
257030.500989386 488993.966651339,14
191035.278132482 570988.501210851,15
191685.596064359 573038.539750368,16
191031.404681934 570987.3542908,17
193096.592242348 571598.851712053,18
156662.266883645 471803.580485601,19
163300.961670272 474956.746674577,20
159663.498465451 473160.586130517,21
159663.498465451 473160.586130517,22
215342.46910286 567034.839759989,23
265801.883942012 522267.046609225,24
265801.883942011 522267.046609225,25
245180.159205108 440018.749706614,26
183371.092948401 318783.665935704,27
182069.712110017 317937.768390754,28
183110.816780724 315282.951480449,29
182473.140169916 316180.904258934,30
181559.647976657 318600.391136386,31
180450.960697685 317956.213152161,32
181813.813439821 317241.920557408,33
182673.297179971 316650.248159975,34
182461.504868841 318172.097445024,35
182429.277756796 316506.705017466,36
182488.271290217 316768.748080877,37
265055.893301059 495094.26479967,38
119897.834618592 418871.132430616,39
119665.340719604 422736.359006031,40
103285.186773815 414954.990815278,41
169516.779521918 446373.755947377,42
169354.016428377 446501.12607431,43
168004.288733231 447126.213568918,44
218889.978888279 486575.713739182,45
104150.839121254 432664.474999682,46
231086.100757106 476629.73134558,47
198447.625862238 395955.662582639,48
123485.213001251 473901.458507645,49
82692.5342610077 387887.716065943,50
81680.1945250804 380240.935560635,51
83585.2351966752 384218.453077775,52
83022.8934372127 376442.62392107,53
82867.4586940439 387196.196330337,54
83409.2899571835 378115.447074408,55
81908.9301007205 380166.390234604,56
79953.2376323926 385867.982312178,57
83174.7051377231 380495.127719116,58
82773.7610217958 380111.329431545,59
85329.148564746 379040.161251398,60
197886.106464304 326239.139462347,61
197789.619266967 326271.479740769,62
199007.42694807 326872.641340644,63
198531.830176039 324843.603030327,64
181093.676481228 328348.815097832,65
180052.57181052 324483.714007829,66
180798.839561451 327536.471954423,67
181037.263349485 325756.38292834,68
180111.110546156 324576.081245633,69
250166.302900708 460900.223525669,70
249919.361103004 463894.394253448,71
252554.988942144 465232.799015511,72
252907.280968472 463561.235276561,73
45029.8648736159 360017.5587668,74
45597.0294147546 359265.047446037,75
45017.3567214226 360034.154525957,76
88550.4913055346 470926.220657475,77
88550.4913055346 470926.220657475,78
194720.454490048 419322.668539063,79
193982.66666644 419471.209886582,80
204479.1394 527886.8113,81
204119.718356858 529494.98681089,82
204301.973638807 523149.653423964,83
203337.688562082 531306.929750249,84
202515.871086275 525157.86183055,85
200608.971169479 525912.715491783,86
198988.180953463 517947.310375861,87
195067.915901167 524664.905250075,88
197845.076620473 523484.14698066,89
200649.592764977 523759.409608909,90
203050.491819867 530721.68662324,91
200649.565682517 523759.387990968,92
202959.817875102 525603.49283918,93
97585.9200488717 458822.818010772,94
189720.966570259 559511.661911757,95
187056.692135641 389975.690751359,96
189311.440550477 377403.032756922,97
190665.056120451 376059.9103309,98
192774.178055063 378641.22374341,99
188188.674147474 380582.455374769,100
187401.688350977 381379.934315219,101
190678.778023135 376097.306693292,102
190977.851133333 376866.2602,103
189218.077079624 377241.262757847,104
189257.669139618 377922.491999028,105
188471.768115021 379177.346096323,106
186909.468247143 390001.373246898,107
187408.132753911 381406.418688453,108
268475.835739447 487858.716861522,109
269406.601478463 486157.662235045,110
266999.448705146 483317.221962531,111
266614.304261416 481455.6904845,112
265519.645966562 478166.905629993,113
266766.574478838 478611.669940104,114
266893.649996012 479930.078430791,115
266925.418875306 476348.137290432,116
266512.423444488 475442.724230564,117
267505.200922415 474402.293433697,118
265726.143681971 472845.618348308,119
266527.982493756 481845.445743877,120
266183.258830754 486005.758961622,121
265662.72520512 486720.685416937,122
266544.864158769 485169.878857852,123
264263.959310592 472028.594016594,124
264989.223176184 472883.01446099,125
264591.818318326 472429.310581602,126
264416.297839438 473803.669048363,127
266270.853842779 472154.438888249,128
269262.705500057 486204.522576554,129
268347.120277557 488026.925249988,130
266502.241032003 484428.794677118,131
265692.842630333 478307.947678496,132
112409.961938517 433258.663329915,133
219058.935287759 547645.03142896,134
213712.944876112 551812.800628169,135
223023.156573114 543671.077038888,136
223147.520837426 544136.636443763,137
219660.51764487 548180.937764592,138
215013.454228396 550285.666270161,139
213636.489526036 551913.760799713,140
219479.1394 542886.8113,141
216412.526742506 546322.22387373,142
216992.250210684 550700.852267596,143
209755.162575768 542992.600073115,144
212224.064867888 547610.01275685,145
214429.115006651 542785.287666906,146
216406.344360189 546310.227616353,147
218950.192278641 551246.294781108,148
239479.1394 562886.8113,149
234479.1394 552886.8113,150
239479.1394 552886.8113,151
239486.930997471 560128.780729754,152
236649.41726477 553968.723126453,153
237361.586477557 557241.962392914,154
243113.722426986 555420.452675594,155
237588.866271062 571537.447375241,156
242981.534788909 559179.975393884,157
239945.593529745 566333.630085018,158
239738.240459076 569231.120604975,159
238716.436049552 570058.782176689,160
238399.6766826 565583.278862975,161
242415.368012028 565092.812746404,162
243386.082201076 560770.580094118,163
242343.841703362 562558.737810785,164
240116.3080906 557674.512733261,165
236347.709999812 555324.834770668,166
234311.079169803 551155.899252004,167
237319.227847112 552100.318022787,168
243370.503674721 553359.543050498,169
243414.119510402 555197.048548737,170
239796.631829856 561049.942624692,171
238831.074129639 569678.673985529,172
238532.266167025 552183.54510578,173
237263.920159922 572315.689914017,174
236718.007123682 553969.201112276,175
234461.742648607 552065.472500684,176
250325.234760108 553779.275250263,177
179226.137840258 607781.616197748,178
179226.137840258 607781.616197748,179
109870.895169171 546992.769559319,180
109292.160355632 540575.825549691,181
109523.949540351 539402.330574492,182
108231.0733911 538678.766946399,183
116318.046394441 567455.070925114,184
119631.355248875 563601.5486705,185
119594.381055247 563660.111745728,186
112100.342131173 564376.385356459,187
121612.1377162 568499.483498794,188
122187.291007051 566917.32740556,189
121576.919505198 568556.249864038,190
120755.84722944 564713.310082966,191
119894.365198262 562841.901936991,192
116536.088781951 572705.876710784,193
119133.161282742 573583.435551174,194
113605.843204907 558002.731488328,195
111024.490001429 561042.732295894,196
113059.651288743 568611.285673791,197
56632.8557448308 427835.086230093,198
52094.1653811074 425071.77120922,199
58936.8572042654 428936.33869348,200
207215.010310705 611550.273767475,201
149958.284757064 601609.680931566,202
152127.4289823 602196.927048597,203
149759.706856217 601238.542008365,204
145277.089913901 599000.938905695,205
143398.06599315 598999.440546906,206
149958.284757064 601609.680931566,207
147512.846141813 601125.430423245,208
133227.636187858 590256.739736638,209
134670.172978337 590470.839666078,210
132955.183221583 590216.302528213,211
129381.823224711 588094.728426495,212
135311.561535963 590610.24452249,213
129074.839205097 587949.926832686,214
133334.892978406 591088.845965919,215
223894.743461579 536134.228409558,216
223894.743461579 536134.228409558,217
152716.895451752 476344.289294685,218
149479.1394 477886.8113,219
141846.943109003 480542.550239759,220
150917.818622226 477322.441751742,221
142085.871443238 480206.469489843,222
116190.636246273 509844.983795545,223
116190.636246273 509844.983795545,224
119362.850415818 510358.200293737,225
119362.850415818 510358.200293737,226
241225.310348004 544150.90855084,227
241179.590624256 497910.857731451,228
242084.975451864 498712.440427122,229
227010.753844774 558319.495660528,230
222310.758648189 556326.194126262,231
222415.669255256 560061.011737833,232
224034.684879054 555178.42364608,233
224230.139849624 558100.940825077,234
223654.003976674 558088.100549036,235
187652.635906687 328752.243157732,236
190919.101811033 326370.716223487,237
189188.265295982 325368.652977931,238
190671.83945174 325069.335385103,239
190528.687559518 324158.368798233,240
189479.1394 322886.8113,241
196929.293605443 318744.242100565,242
197433.239354833 319005.396173123,243
193481.224598377 322019.848239064,244
